OMB,OMB,NARA,NARA,OPM,OPM,Federal_Register,Federal_Register,ECFR,ECFR,regulations.gov,us_govt_manual,usa.gov,usaspending.gov,get.gov,get.gov,OMB-23-22,OMB-23-22,MySales,MySales,MySales,LDA,ACUS,ACUS,GAO,CISA
,,,,GENERAL SERVICES ADMINISTRATION GS,OFFICE OF GENERAL COUNSEL GS12,,,,,,,,,General Services Administration,"GSA, CIO.GOV",General Services Administration,"GSA, FAS, Advantage",Office of Ethics and Civil Rights,47,5,,,,,
,,,,GENERAL SERVICES ADMINISTRATION GS,GSA BOARD OF CONTRACT APPEALS GS13,,,,,,,,,General Services Administration,"GSA, FAS, Acquisition",General Services Administration,"GSA, FAS, ClearPath",Office of Governmentwide Policy,47,6,,,,,
,,,,GENERAL SERVICES ADMINISTRATION GS,OFFICE OF THE CHIEF HUMAN CAPITAL OFFICER GS14,,,,,,,,,General Services Administration,"GSA, FAS, Advantage",General Services Administration,"GSA, FAS, FPDS","Federal Supply Service, OE",47,7,,,,,
,,,,GENERAL SERVICES ADMINISTRATION GS,OFFICE OF INSPECTOR GENERAL GS15,,,,,,,,,General Services Administration,"GSA, FAS, ClearPath",General Services Administration,"GSA, FAS, Office of Enterprise Strategy Management",Office of Citizen Services and Communications,47,8,,,,,
,,,,GENERAL SERVICES ADMINISTRATION GS,OFFICE OF THE CHIEF ACQUISITION OFFICER GS16,,,,,,,,,General Services Administration,"GSA, FAS, ECPIC",General Services Administration,"GSA, FAS, SASy","Federal Supply Service, All Other",47,9,,,,,
,,,,GENERAL SERVICES ADMINISTRATION GS,OFFICE OF CITIZEN SERVICES AND COMMUNICATIONS GS19,,,,,,,,,General Services Administration,"GSA, FAS, FPDS",General Services Administration,"GSA, FAS, System for Award Management","Office of the Chief Financial Officer, Indian Tribal Claims {PBS space (Rent) only}",47,10,,,,,
,,,,GENERAL SERVICES ADMINISTRATION GS,OFFICE OF CONGRESSIONAL AND INTERGOVERNMENTAL AFFAIRS GS20,,,,,,,,,General Services Administration,"GSA, FAS, FPKI",General Services Administration,"GSA, IC, Acquisition",Office of General Counsel,47,11,,,,,
,,,,GENERAL SERVICES ADMINISTRATION GS,OFFICES OF THE REGIONAL ADMINISTRATORS GS22,,,,,,,,,General Services Administration,"GSA, FAS, Office of Enterprise Strategy Management",General Services Administration,"GSA, IC, FAI",Board of Contract Appeals,47,12,,,,,
,,,,GENERAL SERVICES ADMINISTRATION GS,OFFICE OF GOVERNMENTWIDE POLICY GS26,,,,,,,,,General Services Administration,"GSA, FAS, SASy",General Services Administration,"GSA, IC, OGP Web Portfolio","Public Buildings Service, All Other",47,14,,,,,
,,,,GENERAL SERVICES ADMINISTRATION GS,OFFICE OF THE CHIEF INFORMATION OFFICER GS28,,,,,,,,,General Services Administration,"GSA, FAS, System for Award Management",General Services Administration,"GSA, IC, OGP WebPortfolio",Public Buildings Service - FBF,47,15,,,,,
,,,,GENERAL SERVICES ADMINISTRATION GS,FEDERAL ACQUISITION SERVICE GS30,,,,,,,,,General Services Administration,"GSA, IC, Acquisition",General Services Administration,"GSA, IC, ROCIS",Community Services Administration Closeout,47,16,,,,,
,,,,GENERAL SERVICES ADMINISTRATION GS,OFFICE OF EMERGENCY RESPONSE AND RECOVERY GS31,,,,,,,,,General Services Administration,"GSA, IC, FAI",General Services Administration,"GSA, IDI, EAS-SF",Pennsylvania Avenue Activities,47,17,,,,,
,,,,,,,,,,,,,,General Services Administration,"GSA, IC, OGP Web Portfolio",General Services Administration,"GSA, IDI, ECAS II",Federal Property Resources Service,47,18,,,,,
,,,,,,,,,,,,,,General Services Administration,"GSA, IC, OGP Web Portolio",General Services Administration,"GSA, IDI, Enterprise Application Services",Federal Technology Service - Central Office Facilities {PBS space (Rent) only},47,19,,,,,
,,,,,,,,,,,,,,General Services Administration,"GSA, IC, OGP WebPortfolio",General Services Administration,"GSA, IDI,EAS",Presidential Transition,47,20,,,,,
,,,,,,,,,,,,,,General Services Administration,"GSA, IC, ROCIS",General Services Administration,"GSA, IQ-ESRS-FSRS",Special Projects (Presidential),47,22,,,,,
,,,,,,,,,,,,,,General Services Administration,"GSA, IDI-EAS-SF-FRPG",General Services Administration,"GSA, IQ-FPDS-FPDS Portal","FTS, IT Solutions Facilities",47,23,,,,,
,,,,,,,,,,,,,,General Services Administration,"GSA, IDI, EAS-SF",General Services Administration,"GSA, IQ-FSD-FSD Portal","FTS, Network Services Facilities",47,24,,,,,
,,,,,,,,,,,,,,General Services Administration,"GSA, IDI, ECAS II",General Services Administration,"GSA, IQ-GSAAdvantage-Main",Central Office Combined Use Facilities {PBS space (Rent) only},47,25,,,,,
,,,,,,,,,,,,,,General Services Administration,"GSA, IDI, Enterprise Application Services",General Services Administration,"GSA, IQ-SASy-GSAAuctions",Allowance to Former Presidents,47,26,,,,,
,,,,,,,,,,,,,,General Services Administration,"GSA, IDI, Presidential Transition Team",General Services Administration,"GSA, IQ, Clearpath",Office of Enterprise Development (E),47,27,,,,,
,,,,,,,,,,,,,,General Services Administration,"GSA, IDI,EAS",General Services Administration,"GSA, IQ, eRulemaking",Transition - Outgoing President,47,28,,,,,
,,,,,,,,,,,,,,General Services Administration,"GSA, IQ-CAP",General Services Administration,"GSA, Office of Government-wide Policy",Transition - Outgoing Vice President,47,29,,,,,
,,,,,,,,,,,,,,General Services Administration,"GSA, IQ-ESRS-FSRS",General Services Administration,"GSA, Q-FPKI",Office of Management Services and Human Resources,47,30,,,,,
,,,,,,,,,,,,,,General Services Administration,"GSA, IQ-FPDS-FPDS Portal",General Services Administration,"GSA, TTS, Federalist",Office of the Chief Information Officer,47,31,,,,,
,,,,,,,,,,,,,,General Services Administration,"GSA, IQ-FSD-FSD Portal",General Services Administration,"GSA,FAS,Technology Transformation Service",Regional Administrator's Office,47,32,,,,,
,,,,,,,,,,,,,,General Services Administration,"GSA, IQ-GSAAdvantage-Main",General Services Administration,Office of Government-wide Policy,"Office of Citizen Services and Communications, Federal Citizen Information Center",47,33,,,,,
,,,,,,,,,,,,,,General Services Administration,"GSA, IQ-SASy-GSAAuctions",,,Office of Administration Financial Management {PBS space (Rent) only},47,36,,,,,
,,,,,,,,,,,,,,General Services Administration,"GSA, IQ, CAT",,,"GMA, Working Capital Fund {PBS space (Rent) only}",47,37,,,,,
,,,,,,,,,,,,,,General Services Administration,"GSA, IQ, Clearpath",,,Regional Office of General Counsel (PBS Space Rental Only),47,38,,,,,
,,,,,,,,,,,,,,General Services Administration,"GSA, IQ, eRulemaking",,,Regional Offices of Operations,47,39,,,,,
,,,,,,,,,,,,,,General Services Administration,"GSA, IQ, IAE",,,Federal Acquisition Service,47,41,,,,,
,,,,,,,,,,,,,,General Services Administration,"GSA, Office of Government-wide Policy",,,Regional Federal Supply Service,47,42,,,,,
,,,,,,,,,,,,,,General Services Administration,"GSA, OGP, Web Portfolio",,,Office of Performance Improvement (R),47,43,,,,,
,,,,,,,,,,,,,,General Services Administration,"GSA, Q-FPKI",,,Regional National Archives and Records Administration (All billings exept Rent and FTS2000),47,44,,,,,
,,,,,,,,,,,,,,General Services Administration,"GSA, TTS, Federalist",,,Regional Public Buildings Service (PBS Space Rental Only),47,46,,,,,
,,,,,,,,,,,,,,General Services Administration,"GSA,FAS,Technology Transformation Service",,,"Public Buildings Service, Delegated Buildings Only {PBS space (Rent) only}",47,47,,,,,
,,,,,,,,,,,,,,General Services Administration,Office of Government-wide Policy,,,"FTS, IT Solutions, ISTS Facilities",47,48,,,,,
,,,,,,,,,,,,,,General Services Administration,OGP/OSSPI/Executive Councils,,,"FTS, IT Solutions, FAST Facilities",47,49,,,,,
,,,,,,,,,,,,,,General Services Administration,The Confederate Base Naming Commission,,,"FTS, IT Solutions, Regional ADP Facilities",47,50,,,,,
,,,,,,,,,,,,,,General Services Administration,TTS Public Benefits Studio,,,"Federal Technology Service, Federal Information Center {PBS space (Rent) only}",47,51,,,,,
,,,,,,,,,,,,,,,,,,GSA Regional General Management and Administration - Personnel,47,52,,,,,
,,,,,,,,,,,,,,,,,,"Federal Supply Service, Customer Supply Centers {PBS space (Rent) only}",47,53,,,,,
,,,,,,,,,,,,,,,,,,Regional FPRS Warehousing Operations,47,54,,,,,
,,,,,,,,,,,,,,,,,,"Federal Supply Service, Laboratory {PBS space (Rent) only}",47,55,,,,,
,,,,,,,,,,,,,,,,,,"Federal Supply Service, Supply Distribution Warehousing Operations {PBS space (Rent) only}",47,56,,,,,
,,,,,,,,,,,,,,,,,,"Federal Supply Service, Personal Property Centers/State Agencies for Surplus Property",47,57,,,,,
,,,,,,,,,,,,,,,,,,"Federal Supply Service, Self-Service Stores {PBS space (Rent) only}",47,58,,,,,
,,,,,,,,,,,,,,,,,,"Federal Supply Service, Material Returns Program {PBS space (Rent) only}",47,59,,,,,
,,,,,,,,,,,,,,,,,,"Regional PBS, Maintenance and Custodial Operations",47,62,,,,,
,,,,,,,,,,,,,,,,,,"Public Buildings Service, District Offices {PBS space (Rent) only}",47,64,,,,,
,,,,,,,,,,,,,,,,,,"Public Buildings Service, Field Offices {PBS space (Rent) only}",47,66,,,,,
,,,,,,,,,,,,,,,,,,"Federal Supply Service, Interagency Motor Pool {PBS space (Rent) only}",47,68,,,,,
,,,,,,,,,,,,,,,,,,"Federal Supply Service, Transportation {PBS space (Rent) only}",47,69,,,,,
,,,,,,,,,,,,,,,,,,"FTS, Regional Local Telecommunications Facilities",47,70,,,,,
,,,,,,,,,,,,,,,,,,Agency Liaison Division - Rll only {PBS space (Rent) only},47,71,,,,,
,,,,,,,,,,,,,,,,,,"Federal Supply Service, Utilization Offices {PBS space (Rent) only}",47,72,,,,,
,,,,,,,,,,,,,,,,,,Regional Common Use Facilities {PBS space (Rent) only},47,74,,,,,
,,,,,,,,,,,,,,,,,,"FTS, Information Security Management Facilities",47,75,,,,,
,,,,,,,,,,,,,,,,,,"FTS, Federal Systems Integration and Management Center (FEDSIM)",47,76,,,,,
,,,,,,,,,,,,,,,,,,"FTS IT Solutions Financial Srvc Cntr, Phila, PA",47,78,,,,,
,,,,,,,,,,,,,,,,,,"FTS Network Services Financial Srvc Cntr, Atlanta, GA",47,79,,,,,
,,,,,,,,,,,,,,,,,,GSA FTS Professional Services Fund (Fund 295X),47,80,,,,,
,,,,,,,,,,,,,,,,,,Office of the Chief Acquisition Officer,47,81,,,,,
,,,,,,,,,,,,,,,,,,Outleased {PBS space (Rent) only},47,87,,,,,
,,,,,,,,,,,,,,,,,,Joint Use Space {PBS space (Rent) only},47,88,,,,,
,,,,,,,,,,,,,,,,,,Vacant Unassigned Space {PBS space (Rent) only},47,89,,,,,
,,,,,,,,,,,,,,,,,,District of Columbia Financial Responsibility and Management Assistance Authority,47,90,,,,,
,,,,,,,,,,,,,,,,,,District of Columbia Public Defender's Office,47,91,,,,,
,,,,,,,,,,,,,,,,,,Women's Progress Commemoration Commission,47,92,,,,,
Gulf Coast Ecosystem Restoration Council    ,,Boards Commissions and Committees,Gulf Coast Ecosystem Restoration Council,,,Gulf Coast Ecosystem Restoration Council,,Gulf Coast Ecosystem Restoration Council,--,Gulf Coast Ecosystem Restoration Council,,,Gulf Coast Ecosystem Restoration Council,Gulf Coast Ecosystem Restoration Council,National Oceanic and Atmospheric Administration (NOAA),,,,,,,,,,Gulf Coast Ecosystem Restoration Council
Harry S Truman Scholarship Foundation    ,,Boards Commissions and Committees,Harry S. Truman Scholarship Foundation,HARRY S. TRUMAN SCHOLARSHIP FOUNDATION HT,HARRY S. TRUMAN SCHOLARSHIP FOUNDATION HT00,Harry S. Truman Scholarship Foundation,,Harry S. Truman Scholarship Foundation,--,Harry S. Truman Scholarship Foundation,,Harry S. Truman Scholarship Foundation,Harry S Truman Scholarship Foundation,Harry S. Truman Scholarship Foundation,Harry S. Truman Scholarship Foundation,,,Harry S Truman Scholarship Foundation,95,10,,Harry S. Truman Scholarship Foundation,,,Harry S Truman Scholarship Foundation
United States Holocaust Memorial Museum    ,,U.S. Holocaust Memorial Museum,,U.S. HOLOCAUST MEMORIAL MUSEUM HD,U.S. HOLOCAUST MEMORIAL MUSEUM HD00,,,,,,United States Holocaust Memorial Museum,Holocaust Memorial Museum,,United States Holocaust Memorial Museum,United States Holocaust Memorial Museum,,,United States Holocaust Memorial Council,95,27,,,,,
Institute of Museum and Library Services    ,,Independent Agencies,Institute of Museum and Library Services,NATIONAL FOUNDATION ON THE ARTS AND THE HUMANITIES AH,NATIONAL ENDOWMENT FOR THE HUMANITIES AH02,National Foundation on the Arts and the Humanities,Institute of Museum and Library Services,National Foundation on the Arts and the Humanities,Institute of Museum and Library Services,National Foundation on the Arts and the Humanities,National Foundation on the Arts and the Humanities,Institute of Museum and Library Services,Institute of Museum and Library Services,Institute of Museum and Library Services,Institute of Museum and Library Services,Institute of Museum and Library Services,Institute of Museum and Library Services,National Foundation on the Arts and the Humanities,59,0,Institute of Museum and Library Services (IMLS),National Foundation on the Arts and the Humanities,Institute of Museum and Library Services,,Institute of Museum and Library Services
,,,,NATIONAL FOUNDATION ON THE ARTS AND THE HUMANITIES AH,INSTITUTE OF MUSEUM AND LIBRARY SERVICES AH03,National Foundation on the Arts and the Humanities,National Endowment for the Arts,National Foundation on the Arts and the Humanities,National Endowment for the Arts,,,,,,,,,National Endowment for Humanities (PBS and FTS Long Dist.),59,1,Natl Foundation on the Arts & Humanities,National Foundation on the Arts and the Humanities,National Endowment for the Arts,,
,,,,,,National Foundation on the Arts and the Humanities,National Endowment for the Humanities,National Foundation on the Arts and the Humanities,National Endowment for the Humanities,,,,,,,,,National Endowment for the Arts,59,2,,National Foundation on the Arts and the Humanities,National Endowment for the Humanities,,
,,,,,,National Foundation on the Arts and the Humanities,,National Foundation on the Arts and the Humanities,--,,,,,,,,,National Endowment for the Humanities (FTS Local Service),59,3,,,,,
,,,,,,National Foundation on the Arts and the Humanities,Federal Council on the Arts and the Humanities,,,,,,,,,,,Institute of Museum Services,59,4,,,,,
,,,,,,,,,,,,,,,,,,national endowment for t,59,12,,,,,
United States Institute of Peace    ,,U.S. Institute of Peace,,,,United States Institute of Peace,,"Institute of Peace, United States",,United States Institute of Peace,United States Institute of Peace,Institute of Peace,,United States Institute of Peace,GSA/United States Institute of Peace,,,United States Institute of Peace,95,30,U.S. Institute of Peace,United States Institute of Peace,,,
United States Interagency Council on Homelessness    ,,Independent Agencies,United States Interagency Council on Homelessness,U.S. INTERAGENCY COUNCIL ON HOMELESSNESS HW,U.S. INTERAGENCY COUNCIL ON HOMELESSNESS HW00,,,,,,,Interagency Council on Homelessness,U.S. Interagency Council on Homelessness,United States Interagency Council on Homelessness,United States Interagency Council on Homelessness,,,Interagency/Council for the Homeless,48,13,,,,,United States Interagency Council on Homelessness
International Assistance Programs,Inter-American Foundation    ,Independent Agencies,Inter-American Foundation,,,Inter-American Foundation,,Inter-American Foundation,--,Inter-American Foundation,Inter-American Foundation,Inter-American Foundation,Inter-American Foundation,Inter-American Foundation,Inter-American Foundation,Inter-American Foundation,Inter-American Foundation,Inter-American Foundation,11,6,Inter-American Foundation,Inter-American Foundation,,,Inter-American Foundation
,,International Boundary Commission (US/Canada),,INTERNATIONAL BOUNDARY COMMISSION: UNITED STATES AND CANADA GX,INTERNATIONAL BOUNDARY COMMISSION: UNITED STATES AND CANADA GX00,,,,,U.S. International Boundary and Water Commission,,,,,,,,(in dept. of state),,,,,,,
,,Selected Bilateral Organizations,"International Boundary and Water Commission, United States and Mexico",INTERNATIONAL BOUNDARY AND WATER COMMISSION: UNITED STATES AND MEXICO GW,INTERNATIONAL BOUNDARY AND WATER COMMISSION: UNITED STATES AND MEXICO GW00,"International Boundary and Water Commission, United States and Mexico",,"International Boundary and Water Commission, United States and Mexico, United States Section",--,,,,,,,,,(in dept. of state),,,,,,,
,,International Joint Commission,,INTERNATIONAL JOINT COMMISSION: UNITED STATES AND CANADA GY,INTERNATIONAL JOINT COMMISSION: UNITED STATES AND CANADA GY00,,,"International Joint Commission, United States and Canada",--,,,,,,,,,(in dept. of state),,,,,,,
International Trade Commission    ,,Independent Agencies,United States International Trade Commission,U.S. INTERNATIONAL TRADE COMMISSION TC,U.S. INTERNATIONAL TRADE COMMISSION TC00,International Trade Commission,,"International Trade Commission, United States",,International Trade Commission,United States International Trade Commission,U.S. International Trade Commission,International Trade Commission,United States International Trade Commission,OCIO,United States International Trade Commission,OCIO,International Trade Commission,34,0,U.S. International Trade Comm (ITC),United States International Trade Commission,,,United States International Trade Commission
,,,,,,,,,,,,,,United States International Trade Commission,USITC Office of Inspector General,,,,,,,,,,
James Madison Memorial Fellowship Foundation    ,,Boards Commissions and Committees,James Madison Memorial Fellowship Foundation,JAMES MADISON MEMORIAL FELLOWSHIP FOUNDATION BK,JAMES MADISON MEMORIAL FELLOWSHIP FOUNDATION BK00,James Madison Memorial Fellowship Foundation,,James Madison Memorial Fellowship Foundation,--,,,James Madison Memorial Fellowship Foundation,James Madison Memorial Fellowship Foundation,James Madison Memorial Fellowship Foundation,James Madison Memorial Fellowship Foundation,,,James Madison Memorial Commission,76,10,,James Madison Memorial Fellowship Foundation,,,James Madison Memorial Fellowship Foundation
,,,,,,,,,,,,,,,,,,James Madison Memorial Fellowship Foundation,95,41,,,,,
Japan-United States Friendship Commission    ,,Boards Commissions and Committees,Japan-U.S. Friendship Commission,JAPAN UJ,JAPAN UJ00,Japan-United States Friendship Commission,,Japan-United States Friendship Commission,--,,,Japan-United States Friendship Commission,Japan-United States Friendship Commission,Japan-U.S. Friendship Commission,Japan-US Friendship Commission,,,Japan-United States Friendship Commission,95,12,,,,,Japan-United States Friendship Commission
,,,,(smithsonian),,,,,,,,John F. Kennedy Center for the Performing Arts,John F. Kennedy Center for the Performing Arts,John F. Kennedy Center for the Performing Arts,John F Kennedy Center for Performing Arts,,,,,,,,,,
,,,,,,Joint Board for Enrollment of Actuaries,,"Enrollment of Actuaries, Joint Board for the",--,Joint Board for Enrollment of Actuaries,,Joint Board for the Enrollment of Actuaries,,,,,,,,,,,,,
Legal Services Corporation    ,,Legal Services Corporation,,,,Legal Services Corporation,,Legal Services Corporation,--,Legal Services Corporation,Legal Services Corporation,Legal Services Corporation,,Legal Services Corporation,Legal Services Corporation,,,,,,Legal Services Corporation,Legal Services Corporation,,,
Marine Mammal Commission,,Boards Commissions and Committees,Marine Mammal Commission,MARINE MAMMAL COMMISSION MA,MARINE MAMMAL COMMISSION MA00,Marine Mammal Commission,,Marine Mammal Commission,--,Marine Mammal Commission,,Marine Mammal Commission,Marine Mammal Commission,Marine Mammal Commission,Marine Mammal Commission,,,Marine Mammal Commission,95,13,Marine Mammal Comm,Marine Mammal Commission,,,Marine Mammal Commission
Merit Systems Protection Board    ,,Independent Agencies,Merit Systems Protection Board,MERIT SYSTEMS PROTECTION BOARD BD,MERIT SYSTEMS PROTECTION BOARD BD00,Merit Systems Protection Board,,Merit Systems Protection Board,,Merit Systems Protection Board,Merit Systems Protection Board,Merit Systems Protection Board,Merit Systems Protection Board,Merit Systems Protection Board,US Merit Systems Protection Board,Merit Systems Protection Board,US Merit Systems Protection Board,Merit Systems Protection Board,41,0,Merit Systems Protection Board,Merit Systems Protection Board,,,Merit Systems Protection Board
,,,,,,,,,,,,,,,,,,Office of Administration,41,1,,,,,
Military Compensation and Retirement Modernization Commission,,,,,,Military Compensation and Retirement Modernization Commission,,Military Compensation and Retirement Modernization Commission,--,Military Compensation and Retirement Modernization Commission,,,,,,,,,,,,,,,
International Assistance Programs,Millennium Challenge Corporation  ,Wholly-owned Government Corporation,Millennium Challenge Corporation,MILLENNIUM CHALLENGE CORPORATION MI,MILLENNIUM CHALLENGE CORPORATION MI00,Millennium Challenge Corporation,,Millennium Challenge Corporation,--,Millennium Challenge Corporation,,Millennium Challenge Corporation,Millennium Challenge Corporation,Millennium Challenge Corporation,Millennium Challenge Corporation,,,Millenium Challange Corporation,95,77,,Millennium Challenge Corporation,,,Millennium Challenge Corporation
Morris K. Udall and Stewart L. Udall Foundation    ,,Boards Commissions and Committees,Morris K. Udall and Stewart L. Udall Foundation,MORRIS K. UDALL SCHOLARSHIP AND EXCELLENCE IN NATIONAL ENVIRONMENTAL POLICY EO,MORRIS K. UDALL SCHOLARSHIP AND EXCELLENCE IN NATIONAL ENVIRONMENTAL POLICY FOUNDATION EO00,Morris K. Udall and Stewart L. Udall Foundation,,Morris K. Udall and Stewart L. Udall Foundation,--,Morris K. Udall Scholarship and Excellence in National Environmental Policy Foundation,,Morris K. Udall and Stewart L. Udall Foundation,Morris K. Udall and Stewart L. Udall Foundation,Morris K. Udall and Stewart L. Udall Foundation,Morris K. Udall and Stewart L. Udall Foundation,Morris K. Udall and Stewart L. Udall Foundation,Morris K. Udall and Stewart L. Udall Foundation,Morris K. Udall Scholarship and Excellence in National Environmental Policy Foundation,95,49,,Morris K. Udall and Stewart L. Udall Foundation,,,Morris K. Udall and Stewart L. Udall Foundation
National Aeronautics and Space Administration    ,,Independent Agencies,National Aeronautics and Space Administration,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION NN,"HEADQUARTERS, NASA NN10",National Aeronautics and Space Administration,,National Aeronautics and Space Administration,--,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,Jet Propulsion Lab Communications and Education Directorate,National Aeronautics and Space Administration,"Homepage appears to have no content, but content is available to public on sub-paths. NASA Stennis Space Center",National Aeronautics and Space Administration,80,0,Natl Aeronautics & Space Administration (NASA),National Aeronautics and Space Administration,,National Aeronautics and Space Administration,National Aeronautics and Space Administration
,,,,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION NN,AMES RESEARCH CENTER NN21,,,,,,,,,National Aeronautics and Space Administration,NASA Earth Science Division,National Aeronautics and Space Administration,"Homepage redirects, but content is available to public on sub-paths. NASA Ames Research Center",Headquarters,80,1,,,,,
,,,,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION NN,JOHN GLENN RESEARCH CENTER AT LEWIS FIELD NN22,,,,,,,,,National Aeronautics and Space Administration,NASA Langley Research Center,National Aeronautics and Space Administration,"Homepage redirects, but content is available to public on sub-paths. NASA Goddard Space Flight Center",Ames Research Center,80,2,,,,,
,,,,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION NN,LANGLEY RESEARCH CENTER NN23,,,,,,,,,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,National Aeronautics and Space Administration,"Homepage redirects, but content is available to public on sub-paths. NASA Jet Propulsion Laboratory",Dryden Flight Research Center,80,3,,,,,
,,,,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION NN,DRYDEN FLIGHT RESEARCH CENTER NN24,,,,,,,,,National Aeronautics and Space Administration,NASA Science Data Systems Branch,,,Goddard Space Flight Center,80,4,,,,,
,,,,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION NN,GODDARD SPACE FLIGHT CENTER NN51,,,,,,,,,,,National Aeronautics and Space Administration,"Homepage redirects, but content is available to public on sub-paths. NASA Langley Research Center",Jet Propulsion Laboratory,80,5,,,,,
,,,,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION NN,GEORGE C. MARSHALL SPACE FLIGHT CENTER NN62,,,,,,,,,,,National Aeronautics and Space Administration,Jet Propulsion Lab Communications and Education Directorate,Johnson Space Center,80,6,,,,,
,,,,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION NN,JOHN C. STENNIS SPACE CENTER NN64,,,,,,,,,,,National Aeronautics and Space Administration,NASA Ames Research Center,Kennedy Space Center,80,7,,,,,
,,,,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION NN,LYNDON B. JOHNSON SPACE CENTER NN72,,,,,,,,,,,National Aeronautics and Space Administration,NASA Armstrong Flight Research Center,Langley Research Center,80,8,,,,,
,,,,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION NN,JOHN F. KENNEDY SPACE CENTER NN76,,,,,,,,,,,National Aeronautics and Space Administration,NASA Glenn Research Center,Lewis Research Center,80,9,,,,,
,,,,,,,,,,,,,,,,National Aeronautics and Space Administration,NASA Goddard Space Flight Center,Marshall Space Flight Center,80,10,,,,,
,,,,,,,,,,,,,,,,National Aeronautics and Space Administration,NASA Jet Propulsion Laboratory,Michoud Assembly Facility,80,11,,,,,
,,,,,,,,,,,,,,,,National Aeronautics and Space Administration,NASA Johnson Space Center,John C. Stennis Space Center,80,12,,,,,
,,,,,,,,,,,,,,,,National Aeronautics and Space Administration,NASA Kennedy Space Center,Pasadena Office,80,13,,,,,
,,,,,,,,,,,,,,,,National Aeronautics and Space Administration,NASA Langley Research Center,Wallops Flight Center,80,14,,,,,
,,,,,,,,,,,,,,,,National Aeronautics and Space Administration,NASA Marshall Space Flight Center,Western Launch Operations,80,15,,,,,
,,,,,,,,,,,,,,,,National Aeronautics and Space Administration,NASA Office of Small Business Programs,White Sands Test Facility,80,16,,,,,
,,,,,,,,,,,,,,,,National Aeronautics and Space Administration,NASA Office of STEM Engagement,Gladstone Tracking Station,80,17,,,,,
,,,,,,,,,,,,,,,,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,Canoga Park Industrial Plant {PBS space (Rent) only},80,18,,,,,
,,,,,,,,,,,,,,,,National Aeronautics and Space Administration,NASA Science Data Systems Branch,Downey Industrial Plant {PBS space (Rent) only},80,19,,,,,
,,,,,,,,,,,,,,,,National Aeronautics and Space Administration,NASA Science Mission Directorate,Edwards Test Station {PBS space (Rent) only},80,20,,,,,
,,,,,,,,,,,,,,,,National Aeronautics and Space Administration,NASA Stennis Space Center,Plum Brook Station {PBS space (Rent) only},80,21,,,,,
,,,,,,,,,,,,,,,,,,Santa Susana Industrial Plant {PBS space (Rent) only},80,22,,,,,
,,,,,,,,,,,,,,,,,,Slidell Computer Complex {PBS space (Rent) only},80,23,,,,,
,,,,,,,,,,,,,,,,,,Slidell Computer Complex (Exp. Code),80,26,,,,,
,,,,,,,,,,,,,,,,,,NASA Mission Communications Services (FTS Only),80,30,,,,,
,,,,,,,,,,,,,,,,,,NASA Mission Support Communications Services (FTS Only),80,31,,,,,
,,,,,,,,,,,,,,,,,,NASA Reimbursable Communications Services (FTS Only),80,32,,,,,
,,,,,,,,,,,,,,,,,,NASA International Communications Services (FTS Only),80,33,,,,,
,,,,,,,,,,,,,,,,,,NASA Integrated Service Network (FTS Only),80,34,,,,,
National Archives and Records Administration    ,,Independent Agencies,National Archives and Records Administration,NATIONAL ARCHIVES AND RECORDS ADMINISTRATION NQ,NATIONAL ARCHIVES AND RECORDS ADMINISTRATION NQ00,National Archives and Records Administration,,National Archives and Records Administration,--,National Archives and Records Administration,National Archives and Records Administration,National Archives and Records Administration,National Archives and Records Administration,National Archives and Records Administration,Gerald R. Ford Library and Museum,National Archives and Records Administration,Gerald R. Ford Library and Museum,National Archives and Records Administration {PBS space (Rent) and FTS2000 only},88,0,,National Archives and Records Administration,,,National Archives and Records Administration
,,,,,,National Archives and Records Administration,Federal Register Office,National Archives and Records Administration,Information Security Oversight Office,,,,,National Archives and Records Administration,Jimmy Carter Library & Museum,National Archives and Records Administration,Jimmy Carter Library & Museum,Central Office and Presidential Libraries,88,1,,,,,
,,,,,,National Archives and Records Administration,Information Security Oversight Office,National Archives and Records Administration,Office of Federal Register,,,,,National Archives and Records Administration,National Archives and Records Administration,National Archives and Records Administration,National Archives and Records Administration,National Archives and Records Administration - Regional {PBS space (Rent) and FTS2000 only},88,2,,,,,
,,,,,,National Archives and Records Administration,Office of Government Information Services,,,,,,,National Archives and Records Administration,NPOL,National Archives and Records Administration,William Clinton Presidential Library,National Archives and Records Administration - Records Depositing Operations (PBS rent and FTS2000),88,3,,,,,
,,,,,,,,,,,,,,National Archives and Records Administration,Policy and Planning,,,,,,,,,,
