title,description,keywords,domain,agency,bureau
,,"Plasmasphere, Magnetosphere, Space Weather, VLF,NASA",plasmasphere.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,plot3dout.larc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,plus.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,GPMGV data,"GPM Satellite Validation, NASA Goddard Space Flight Center",pmm-gv.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,pmmpublisher.pps.eosdis.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,The Physical Oceanography Distributed Active Archive Center (PO.DAAC) is an element of the Earth Observing System Data and Information System (EOSDIS). The EOSDIS provides science data to a wide community of users for NASA's Science Mission Directorate. The mission of the PO.DAAC is to preserve NASA’s ocean and climate data and make these universally accessible and meaningful.,"Physical Oceanography Distributed Active Archive Center, PODAAC, Earthdata",podaac.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,polartide.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,portalcss.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,portal.nas.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,"Provides solar and meteorological data sets from NASA research for support of renewable energy, building energy efficiency and agricultural needs.",,power.larc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,Precipitation Processing System (PPS),"PPS, pps, Precipitation Processing System, TRMM, Tropical Rainfall Measuring Mission (TRMM), global precipitation, GPM, Global Precipitation Measurement Mission, PPS/ TRMM Activity Bulletin, TRMM Spacecraft Operations Chronology, TRMM Anomalous Granule Table, TRMM Algorithm Status, TRMM Data Product Status, TRMM homepage link, Kummerow Research group,GSFC, TRMM Fire Mapping, TRMM Overflight Finder, TRMM Realtime System, THOR Data Viewer (Microsoft Windows and UNIX), TRMM Trending Results, JAXA, Frequently Asked Questions, TRMM Mission Index, PPS/TRMM Documentation, PPS/GPM Documentation, Related Links, ISCCP Convection Colocator, STORM (Science Team On-Line Request Module), GPM documentation",pps.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,"PRISM, portable remote imaging spectrometer, Jet Propulsion Laboratory, NASA","prism, Jet Propulsion Laboratory, NASA",prism.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,Ames Research Center Procurement web application,,procure.arc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,prosams.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,Planetary Spectrum Generator - NASA/GSFC,"solar system, Goddard, NASA, GSFC, Goddard Space Flight Center, Science Research, Mars, Comets",psg.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,psiuserregistration.ndc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,psrs.arc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,psss.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,pub.earthdata.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,public.ksc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,push1.jsc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,"The Heliospheric Physics Laboratory (HPL), located at NASA's Goddard Space Flight Center in Suburban Maryland, USA, operates the Space Physics Data Facility (SPDF) and its S3C Active Archive. HPL is a component of Goddard's Heliophysics Division of the Sciences and Exploration Directorate.","science, data, SPDF, HPL, HSD, CDAWeb, SSCWeb, NSSDC, coordinated data analysis, multi-mission, multi-instrument, space physics, IMAGE, Polar, Wind, Geotail, FAST, ACE, Cluster",pwg.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,Radio JOVE is a NASA education and outreach project involving high school and college students in solar and planetary radio astronomy.,"GMAO, NASA",radiojove.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,RAPweb static site build.,,rapweb.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,ras.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,Modeling climate and Earth system processes on regional scales is essential for projecting the impacts of climate change on society and our natural re,,rcmes.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,Default Index Page,,reason.gesdisc.eosdis.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,"NASA, Langley Research Center",reason-prod.larc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,redirect.larc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,NASA 'HYPERSEED' mission website,"reentry, HYPERSEED, Fireball, Bolide, Meteor, hypervelocity, reentries, exogenous delivery, organics, meteors, NASA, Ames, Ames Research Center,",reentry.arc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,registration.pps.eosdis.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,registry.appdat.jsc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,registry.aps.smce.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,remus.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,request.hec.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,researchdirectorate.larc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,rms.earthdata.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,robotics.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
Robotics Alliance Project,,,robotics.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,rocketsciencec2e.ksc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,roland.grc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,Nancy Grace Roman Space Telescope,"Nancy Grace Roman Space Telescope, Roman Space Telescope, Wide Field Infrared Survey Telescope, wfirst, exoplanets, dark energy, astronomy, high energy, high-energy, x-ray, gamma-ray, gamma ray, physics, astrophysics, universe, science, nasa, space, black hole, blackhole, dark matter",roman.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,rotorcraft.arc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,rsahelp.hadm.msfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,rsahelp.hosc.msfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,Fireworks Splice HTML,NASA Sounding Rocket,rscience.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,"The Rapid Spacecraft Development Office (RSDO) is responsible for the management and direction of a dynamic and versatile program directing the definition, competition, and acquisition of multiple Indefinite Delivery/Indefinite Quantity (IDIQ) contracts","Rapid Spacecraft Development Office, RSDO, nasa, gsfc, flight projects, earth science, space, exploration, IDIQ, Indefinite Delivery/Indefinite Quantity",rsdo.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,russellranch.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,NASA Langley Patrick Minnis GOES Satellites imagery and cloud product,s3-gcc.satcorps.smce.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,NASA Langley Patrick Minnis GOES Satellites imagery and cloud product,s3-phs.satcorps.smce.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,NASA Langley Patrick Minnis GOES Satellites imagery and cloud product,s3-satcorps.satcorps.smce.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,"Small Spacecraft Systems Virtual Institute, S3VI, Satellites, CubeSat, NanoSat, NASA, Ames Research Center, ARC, SmallSat, MiniSat, Launch, exploration, space, galaxy, data integration, data management, federated search, data fusion, metadata common models, data federation",s3vi.ndc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,Default Index Page,,s4psci.gesdisc.eosdis.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,"NASA, SMAB, VAB, SACD, ASAB",sacd.larc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,saint.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,saltonsea.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,NASA Langley Patrick Minnis GOES Satellites imagery and cloud product,satcorps.larc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
NASA LaRC Satellite Imagery and Cloud Products,,NASA Langley Patrick Minnis GOES Satellites imagery and cloud product,satcorps.smce.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,satern.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,sbg.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,This is the SBUV/2 Calibration Data Page,"SBUV/2, SSAI, ozone, NASA",sbuv.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
Space Communication and Navigation (SCaN) Intranet,,,www.scan.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,Real-time status display for NASA ground stations,,scan-now.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
Home,,,www.scanvas.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,Goddard Scientific Colloquium      Information and Current Schedule,"colloquium, scientific, talks",scicolloq.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,Welcome to the NASA Science Career Path Tool. This tool features common science roles across five distinct career tracks. Click on any of the bars below to learn more about the science career tracks and their associated roles.,,sciencecareers.apps.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,science.data.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,"The Science Discovery Engine (SDE) is an integrated SMD search capability that enables discovery of open data and information across SMD’s five divisions: Astrophysics, Biological and Physical Sciences, Earth Science, Heliophysics and Planetary Science.",,sciencediscoveryengine.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,Sciences & Exploration Directorate,"science, NASA, Goddard, GSFC, Goddard Space Flight Center, earth science, earth sciences, astrophysics, heliophysics, solar system, Earth and Space, Science Research, stars, universe, activities, education, lunar, moon, solar, sun, planets, planetary, Code 600, SED, Sciences and Exploration Directorate",science.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,science.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,NASA Langley Science,Science Directorate,science.larc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
NASA Science,"NASA Science seeks to discover the secrets of space, the origins of the universe, search for life elsewhere, and protect and improve life on Earth.",Science Mission Directorate,science.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,sciencetalks.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,scifli.larc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,"NASA, Langley Research Center",scool.larc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,sdilvpn.jsc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,SDO is designed to help us understand the Sun's influence on Earth and Near-Earth space by studying the solar atmosphere on small scales of space and time and in many wavelengths simultaneously.,,sdo.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,Permanent repository for bio-optical oceanography data.,,seabass.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,seadas.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,sealevel.eis.smce.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,"nasa,cnes,noaa,esa,eumetsat,Jason,sentinel,ocean,surface topography,oceanography,el nino,la nina,enso,science team,centre national d'etudes spatiales,European space agency,national oceanic and atmospheric administration",sealevel.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,Visit NASA's portal for an in-depth look at the science behind sea level change.,"sea level, NASA, climate, ocean, cryosphere",sealevel.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,sealevel-nexus.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,seal.nascom.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,"Search, discover, visualize, refine, and access NASA Earth Observation data in your browser with Earthdata Search",,search.earthdata.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,search.hec.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,searchpub.nssc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,Links to various web sites supported by NASA Code 614.2,,seawifs.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,"The Jet Propulsion Laboratory is the lead U.S. center for robotic exploration of the solar system, and conducts major programs in space-based Earth sciences and astronomy. JPL spacecraft have visited all of the planets from Mercury to Neptune.","mercury, venus, moon, earth, mars, saturn, uranus, neptune, pluto, solar system, universe, rover, rovers, cassini, mars phoenix, mars reconnaissance orbiter, mars odyssey, cloudsat, dawn mission, epoxi, galaxy evolution explorer, galex, jason 2, quikscat, quick scatterometer, spitzer space telescope, stardust mission, voyager mission, robot, robotics, spacecraft, deep space, probe, deep space exploration, extrasolar, Jet Propulsion Laboratory, JPL, NASA, National Aeronautics and Space Administration, Caltech, California Institute of Technology, www.jpl.nasa.gov",sec353ext.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,Sciences & Exploration Directorate,"science, NASA, Goddard, GSFC, Goddard Space Flight Center, earth science, earth sciences, astrophysics, heliophysics, solar system, Earth and Space, Science Research, stars, universe, activities, education, lunar, moon, solar, sun, planets, planetary, Code 600, SED, Sciences and Exploration Directorate",sedvme.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,Sellers Exoplanet Environments Collaboration (SEEC),,seec.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,Goddard Senior Fellows,"NASA Goddard Space Flight Center, Senior Fellows",seniorfellows.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,Solar Energetic Particles Scoreboard,,sep.ccmc.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,DRF aims to achieve the full potential of future air mobility through a self-sustaining decentralized        ecosystem        for data and reasoning service exchange.,,services.drf.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,The official NASA SEWP V (www1-1-pz) WWW resource.,"procurement, sewp, hardware, computers, purchase, order, software, peripherals, gwac, contract",sewp1-1-pz.sewp.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,sfa.ird.appdat.jsc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,sfa.jsc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,"The Space Geodesy Project (SGP) encompasses the development, operation, and maintenance of a Global Network of Space Geodetic technique instruments, a data transport and collection system, analysis and the public disseminations of data products required to maintain a stable terrestrial reference system. This includes the management, operations and development of NASA's Space Geodetic Network that is comprised of the four major space geodetic observing systems: Very Long Baseline Interferometry (VLBI), Satellite Laser Ranging (SLR), Global Navigation Satellite System (GNSS), and the Doppler Orbitography and Radio-positioning by Integrated Satellite (DORIS) system.","geodesy, space, space geodesy, SLR, VLBI, DORIS, GNSS",sgp.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,shapememory.grc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,sideshow.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,"GISS Model E General Circulation Model resource server. It contains documentation, source code viewer, bug tracking system and recent snapshots of the source code.",,simplex.giss.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,sisl.jsc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,Earthdata Login,,sit.urs.earthdata.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,A Virtual Telescope from NASA's 	High Energy Astrophysics Archive Research Center,"skyview, SkyView, astronomy, pictures,   astrophysics, data, images, virtual, telescope",skyview.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,skywatchers.larc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,slseng.hosc.msfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,slsgsess2.hosc.msfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,slsgsess4.hosc.msfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,slsvvpub1.hosc.msfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,slsvvpub1ms.hosc.msfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,slsvvpub1owa.hosc.msfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,slsvvpub1sk.hosc.msfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,slsvvpub1sp.hosc.msfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,slsvvpub2.hosc.msfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,sma.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,smallsat.wff.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,sma.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,"SMAP, or Soil Moisture Active Passive, is an Earth satellite mission that measures and maps Earth's soil moisture and freeze/thaw state to better understand terrestrial water, carbon and energy cycles.",JPL,smap.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,smap.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,smce.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,snow.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,Default Index Page,,snppl0.gesdisc.eosdis.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,Default Index Page,,snpp-omps.gesdisc.eosdis.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,Default Index Page,,snpp-sounder.gesdisc.eosdis.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,The OMI/TOMS Sulfur Dioxide Group uses Ozone Monitoring Instrument (OMI) and Total Ozone Mapping Spectrometer (TOMS) data to measure and map volcanic sulfur dioxide and ash emissions for volcanic eruptions worldwide.,"ozone, so2, sulfur dioxide, emissions, so2 emissions,sulfur dioxide emissions, so2 aura, aura, omi, so2 omi",so2.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,software.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,sohodb.nascom.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,soho.nascom.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,solar-b.msfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,solarb.msfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,"Sun,solar physics,sunspots,solar flares,space weather, sunspot cycle,photosphere,chromosphere,corona,NASA",solarscience.msfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,solarsystem1.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,solc.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,"SOMA is the introduction to the LaRC Science Office for Mission Assessments(SOMA) with linked access to SOMA program acquisition websites and other related additional information  content. The Science Office for Mission Assessments (SOMA) at NASA Langley Research Center (LaRC) supports the Science Mission Directorate (SMD) at NASA Headquarters in the acquisition of Earth and space science missions and instruments through the development of Announcement of Opportunity (AO) solicitations and the Technical, Management, and Cost (TMC) evaluations of proposals received in response to the AO solicitations and Phase A concept studies.","SOMA, Science Office for Mission Assessments, science, acquisitions, reviews, special studies, SMD Announcement of Opportunity(AO), SMD Missions of Opportunity(MO), science missions, science instruments,earth science, space science,pre-proposal, concept study, Phase-A, teaming interest, downselection, program libraries, questions and answers.",soma.larc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,"Interactive interface for browsing full-resolution, global, daily satellite images. Supports time-critical application areas such as wildfire management, air quality measurements, and weather forecasting. Data is generally available within three hours of observation.","nasa, worldview, nasa worldview, eosdis worldview, satellite imagery, remote sensing, natural hazards, natural disasters, daily, near real-time, nrt, lance, wildfire management, air quality, weather forecasting, agriculture, dust storms, smoke plumes, vegetation, severe storms, shipping, fisheries, floods, drought, oil spills",soto.podaac.earthdatacloud.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,Default Index Page,,sounder.gesdisc.eosdis.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,"The Space Geodesy Project (SGP) encompasses the development, operation, and maintenance of a Global Network of Space Geodetic technique instruments, a data transport and collection system, analysis and the public disseminations of data products required to maintain a stable terrestrial reference system. This includes the management, operations and development of NASA's Space Geodetic Network that is comprised of the four major space geodetic observing systems: Very Long Baseline Interferometry (VLBI), Satellite Laser Ranging (SLR), Global Navigation Satellite System (GNSS), and the Doppler Orbitography and Radio-positioning by Integrated Satellite (DORIS) system.","geodesy, space, space geodesy, SLR, VLBI, DORIS, GNSS",space-geodesy.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,"The Space Geodesy Project (SGP) encompasses the development, operation, and maintenance of a Global Network of Space Geodetic technique instruments, a data transport and collection system, analysis and the public disseminations of data products required to maintain a stable terrestrial reference system. This includes the management, operations and development of NASA's Space Geodetic Network that is comprised of the four major space geodetic observing systems: Very Long Baseline Interferometry (VLBI), Satellite Laser Ranging (SLR), Global Navigation Satellite System (GNSS), and the Doppler Orbitography and Radio-positioning by Integrated Satellite (DORIS) system.","geodesy, space, space geodesy, SLR, VLBI, DORIS, GNSS",space-geodesy.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,The Solar System Simulator is a graphical engine which will produce simulated views of any body in the solar system from any point in space.,"solar system visualization, space visualization, space graphics, space simulation, solar system, universe, deep space exploration, Jet Propulsion Laboratory, JPL, NASA, National Aeronautics and Space Administration, Caltech, California Institute of Technology, space.jpl.nasa.gov",space.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,"This website offers teachers and students authentic mathematics problems based upon NASA press releases, mission science results, and other sources.  All problems are based on STEM, common core standards and real-world applications for grades 3 to 12 and beyond.",,spacemath.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
Home | NASA Space Place – NASA Science for Kids,"NASA’s award-winning Space Place website engages upper-elementary-aged children in space and Earth science through interactive games, hands-on activities, fun articles and short videos. With material in both English and Spanish and numerous resources for kids, parents and teachers, Space Place has something for everyone.",,spaceplace.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,spaceradiation.larc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,"Space Sciences, NASA, NSSTC, colloquia",spacescience.msfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,"solar, terrestrial, probes, sun, earth, connection, TIMED, STEREO, SOLAR-B, MMS, GEC, MC, magnetosphere, magnetospheric, multiscale, geospace, electrodynamic, constellation, small satellites, small satellite, nano sat, nanosat, nano-sat, nano-satellite",spacesounds.msfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,"The Heliospheric Physics Laboratory (HPL), located at NASA's Goddard Space Flight Center in Suburban Maryland, USA, operates the Space Physics Data Facility (SPDF) and its S3C Active Archive. HPL is a component of Goddard's Heliophysics Division of the Sciences and Exploration Directorate.","science, data, SPDF, HPL, HSD, CDAWeb, SSCWeb, NSSDC, coordinated data analysis, multi-mission, multi-instrument, space physics, IMAGE, Polar, Wind, Geotail, FAST, ACE, Cluster",spdf.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,spec.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,speclib.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,spinoff.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,See the International Space Station! As the third brightest object in the sky the space station is easy to see if you know when to look up.,,spotthestation.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,spsweb.fltops.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,spsweb.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,srag.jsc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,srag-msrem.jsc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,ssctdpub.ssc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,"The Space Physics Data Facility (SPDF) hosts the S3C Active Archive, which consists of web services for survey and high resolution data, trajectories, and scientific models.",,sscweb.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,sscwebpub.ssc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,"SSD provides information related to the orbits, physical characteristics, and discovery circumstances for most known natural bodies in our solar system.",,ssd.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,sservi-apollo.arc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,"SSERVI advances lunar and planetary science through cross-disciplinary research and collaborations, providing technical analyses for NASA programs and missions.",,sservi.arc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,"SSERVI advances lunar and planetary science through cross-disciplinary research and collaborations, providing technical analyses for NASA programs and missions.",,sservi.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,This site describes NASA's effort in the environmental cleanup of the NASA-Administered areas of the Santa Susana Field Laboratory,,ssfl.msfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,sso2.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,stab.larc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,stabservdata.larc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,stabserv.larc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
