agency,domain,domaintype,lastmodified,organization,scan_data_url,scantype,/,/cj,/code.json,/coronavirus,/data,/data.json,/developer,/digitalstrategy,/digitalstrategy/FITARAmilestones.json,/digitalstrategy/bureaudirectory.json,/digitalstrategy/costsavings.json,/digitalstrategy/datacenteroptimizationstrategicplan.json,/digitalstrategy/governanceboards.json,/open,/privacy,/redirecttest-foo-bar-baz,/robots.txt,/sitemap.xml,dap_detected,dap_parameters,dap_parameters,domain,domain,invalid,status_code
General Services Administration,vehiclestd.fas.gsa.gov,,2020-06-14T12:02:16Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/vehiclestd.fas.gsa.gov.json,200scanner,-1,-1,200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,True,,,vehiclestd.fas.gsa.gov,vehiclestd.fas.gsa.gov,,200
General Services Administration,www.frpg.gov,,2020-06-14T12:02:16Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/www.frpg.gov.json,200scanner,200,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,True,agency=GSA&subagency=OGP,agency=GSA&subagency=OGP,www.frpg.gov,www.frpg.gov,,200
General Services Administration,webshop.gsa.gov,,2020-06-14T12:02:16Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/webshop.gsa.gov.json,200scanner,200,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,200,404,False,,,webshop.gsa.gov,webshop.gsa.gov,,200
General Services Administration,www.fsrs.gov,,2020-06-14T12:02:16Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/www.fsrs.gov.json,200scanner,200,404,404,404,404,404,404,404,404,404,404,404,404,404,200,404,404,404,True,,,www.fsrs.gov,www.fsrs.gov,,200
General Services Administration,www.slc.gsa.gov,,2020-06-14T12:02:16Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/www.slc.gsa.gov.json,200scanner,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,False,,,www.slc.gsa.gov,www.slc.gsa.gov,,200
General Services Administration,was.itss.gsa.gov,,2020-06-14T12:02:16Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/was.itss.gsa.gov.json,200scanner,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,False,,,was.itss.gsa.gov,was.itss.gsa.gov,,200
General Services Administration,www.govsales.gov,,2020-06-14T12:02:16Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/www.govsales.gov.json,200scanner,200,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,False,,,www.govsales.gov,www.govsales.gov,,200
General Services Administration,www.gsafcu.gsa.gov,,2020-06-14T12:02:16Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/www.gsafcu.gsa.gov.json,200scanner,200,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,False,,,www.gsafcu.gsa.gov,www.gsafcu.gsa.gov,,200
General Services Administration,www.gsa.gov,,2020-06-14T12:02:16Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/www.gsa.gov.json,200scanner,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,404,200,404,True,agency=GSA&subagency=OSC&sp=query&enhlink=true&yt=false,agency=GSA&subagency=OSC&sp=query&enhlink=true&yt=false,www.gsa.gov,www.gsa.gov,,200
General Services Administration,www.gsaig.gov,,2020-06-14T12:02:16Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/www.gsaig.gov.json,200scanner,200,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,200,404,False,,,www.gsaig.gov,www.gsaig.gov,,204
General Services Administration,www.fedidcard.gov,,2020-06-14T12:02:16Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/www.fedidcard.gov.json,200scanner,200,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,200,404,True,,,www.fedidcard.gov,www.fedidcard.gov,,200
General Services Administration,www.aacinquiry.fas.gsa.gov,,2020-06-14T12:02:16Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/www.aacinquiry.fas.gsa.gov.json,200scanner,200,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,200,404,False,,,www.aacinquiry.fas.gsa.gov,www.aacinquiry.fas.gsa.gov,,200
General Services Administration,www.fedramp.gov,,2020-06-14T12:02:16Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/www.fedramp.gov.json,200scanner,200,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,200,200,True,agency=GSA&subagency=TTS,agency=GSA&subagency=TTS,www.fedramp.gov,www.fedramp.gov,,200
General Services Administration,www.orders-vp.fas.gsa.gov,,2020-06-14T12:02:16Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/www.orders-vp.fas.gsa.gov.json,200scanner,200,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,False,,,www.orders-vp.fas.gsa.gov,www.orders-vp.fas.gsa.gov,,200
General Services Administration,www.facadatabase.gov,,2020-06-14T12:02:16Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/www.facadatabase.gov.json,200scanner,200,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,True,agency=GSA&subagency=OGP,agency=GSA&subagency=OGP,www.facadatabase.gov,www.facadatabase.gov,,200
General Services Administration,www.fai.gov,,2020-06-14T12:02:16Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/www.fai.gov.json,200scanner,200,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,200,404,True,agency=GSA&subagency=GSA/OGP,agency=GSA&subagency=GSA/OGP,www.fai.gov,www.fai.gov,,200
General Services Administration,www.moveitup.fas.gsa.gov,,2020-06-14T12:02:16Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/www.moveitup.fas.gsa.gov.json,200scanner,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,,,www.moveitup.fas.gsa.gov,www.moveitup.fas.gsa.gov,,200
General Services Administration,www.orders-vp-staging.fas.gsa.gov,,2020-06-14T12:02:16Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/www.orders-vp-staging.fas.gsa.gov.json,200scanner,200,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,False,,,www.orders-vp-staging.fas.gsa.gov,www.orders-vp-staging.fas.gsa.gov,,200
General Services Administration,www.fpc.gov,,2020-06-14T12:02:16Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/www.fpc.gov.json,200scanner,200,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,200,200,True,agency=GSA&subagency=18F,agency=GSA&subagency=18F,www.fpc.gov,www.fpc.gov,,200
General Services Administration,admin-catalog.data.gov,,2020-06-14T14:19:33Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/admin-catalog.data.gov.json,200scanner,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,False,,,admin-catalog.data.gov,admin-catalog.data.gov,,403
General Services Administration,367-update-how-it-to-how-revenue.app.cloud.gov,,2020-06-14T14:19:33Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/367-update-how-it-to-how-revenue.app.cloud.gov.json,200scanner,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,False,,,367-update-how-it-to-how-revenue.app.cloud.gov,367-update-how-it-to-how-revenue.app.cloud.gov,,404
General Services Administration,aapi.data.gov,,2020-06-14T14:19:33Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/aapi.data.gov.json,200scanner,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,True,agency=GSA,agency=GSA,aapi.data.gov,aapi.data.gov,,200
General Services Administration,357-incomplete-years.app.cloud.gov,,2020-06-14T14:19:33Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/357-incomplete-years.app.cloud.gov.json,200scanner,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,False,,,357-incomplete-years.app.cloud.gov,357-incomplete-years.app.cloud.gov,,404
General Services Administration,365-revenueovertimechart.app.cloud.gov,,2020-06-14T14:19:33Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/365-revenueovertimechart.app.cloud.gov.json,200scanner,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,False,,,365-revenueovertimechart.app.cloud.gov,365-revenueovertimechart.app.cloud.gov,,404
General Services Administration,atf-eregs.app.cloud.gov,,2020-06-14T14:19:33Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/atf-eregs.app.cloud.gov.json,200scanner,200,500,404,500,500,404,500,500,404,404,404,404,404,500,500,500,404,404,True,agency=DOJ&subagency=ATF,agency=DOJ&subagency=ATF,atf-eregs.app.cloud.gov,atf-eregs.app.cloud.gov,,200
General Services Administration,api.code.gov,,2020-06-14T14:19:33Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/api.code.gov.json,200scanner,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,False,,,api.code.gov,api.code.gov,,403
General Services Administration,api.data.gov,,2020-06-14T14:19:33Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/api.data.gov.json,200scanner,200,404,404,404,404,404,200,404,404,404,404,404,404,404,200,404,404,404,True,agency=GSA,agency=GSA,api.data.gov,api.data.gov,,200
General Services Administration,airnow-blue.app.cloud.gov,,2020-06-14T14:19:33Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/airnow-blue.app.cloud.gov.json,200scanner,200,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,200,404,True,,,airnow-blue.app.cloud.gov,airnow-blue.app.cloud.gov,,200
General Services Administration,airnow.app.cloud.gov,,2020-06-14T14:19:33Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/airnow.app.cloud.gov.json,200scanner,200,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,200,404,True,,,airnow.app.cloud.gov,airnow.app.cloud.gov,,200
General Services Administration,analytics.fr.cloud.gov,,2020-06-14T14:19:33Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/analytics.fr.cloud.gov.json,200scanner,200,404,404,404,200,404,200,404,404,404,404,404,404,404,404,404,404,404,True,,,analytics.fr.cloud.gov,analytics.fr.cloud.gov,,200
General Services Administration,catalog-bsp.data.gov,,2020-06-14T14:19:33Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/catalog-bsp.data.gov.json,200scanner,200,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,200,404,True,agency=GSA,agency=GSA,catalog-bsp.data.gov,catalog-bsp.data.gov,,200
General Services Administration,accessibility.digital.gov,,2020-06-14T14:19:33Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/accessibility.digital.gov.json,200scanner,200,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,200,200,True,agency=GSA,agency=GSA,accessibility.digital.gov,accessibility.digital.gov,,200
General Services Administration,catalog-next.data.gov,,2020-06-14T14:19:33Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/catalog-next.data.gov.json,200scanner,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,False,,,catalog-next.data.gov,catalog-next.data.gov,,403
General Services Administration,a130.cio.gov,,2020-06-14T14:19:33Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/a130.cio.gov.json,200scanner,200,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,True,agency=GSA,agency=GSA,a130.cio.gov,a130.cio.gov,,200
General Services Administration,cg-06ab120d-836f-49a2-bc22-9dfb1585c3c6.app.cloud.gov,,2020-06-14T14:19:33Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/cg-06ab120d-836f-49a2-bc22-9dfb1585c3c6.app.cloud.gov.json,200scanner,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,200,404,False,,,cg-06ab120d-836f-49a2-bc22-9dfb1585c3c6.app.cloud.gov,cg-06ab120d-836f-49a2-bc22-9dfb1585c3c6.app.cloud.gov,,404
General Services Administration,311-accessibilitytestingandimprovements.app.cloud.gov,,2020-06-14T14:19:33Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/311-accessibilitytestingandimprovements.app.cloud.gov.json,200scanner,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,False,,,311-accessibilitytestingandimprovements.app.cloud.gov,311-accessibilitytestingandimprovements.app.cloud.gov,,404
General Services Administration,agriculture.data.gov,,2020-06-14T14:19:33Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/agriculture.data.gov.json,200scanner,200,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,True,agency=GSA,agency=GSA,agriculture.data.gov,agriculture.data.gov,,200
General Services Administration,cg-9341b8ea-025c-4fe2-aa6c-850edbebc499.app.cloud.gov,,2020-06-14T14:19:33Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/cg-9341b8ea-025c-4fe2-aa6c-850edbebc499.app.cloud.gov.json,200scanner,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,200,404,False,,,cg-9341b8ea-025c-4fe2-aa6c-850edbebc499.app.cloud.gov,cg-9341b8ea-025c-4fe2-aa6c-850edbebc499.app.cloud.gov,,404
General Services Administration,cg-9e8debaf-b030-4825-a43c-cb2bc850c96c.app.cloud.gov,,2020-06-14T14:19:33Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/cg-9e8debaf-b030-4825-a43c-cb2bc850c96c.app.cloud.gov.json,200scanner,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,200,404,True,agency=GSA,agency=GSA,cg-9e8debaf-b030-4825-a43c-cb2bc850c96c.app.cloud.gov,cg-9e8debaf-b030-4825-a43c-cb2bc850c96c.app.cloud.gov,,200
General Services Administration,challenge-portal-dev.app.cloud.gov,,2020-06-14T14:19:33Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/challenge-portal-dev.app.cloud.gov.json,200scanner,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,False,,,challenge-portal-dev.app.cloud.gov,challenge-portal-dev.app.cloud.gov,,404
General Services Administration,analytics-staging.app.cloud.gov,,2020-06-14T14:19:33Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/analytics-staging.app.cloud.gov.json,200scanner,200,404,404,404,200,404,200,404,404,404,404,404,404,404,404,404,404,404,True,,,analytics-staging.app.cloud.gov,analytics-staging.app.cloud.gov,,200
General Services Administration,crime-data-explorer-beta.fr.cloud.gov,,2020-06-14T14:19:33Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/crime-data-explorer-beta.fr.cloud.gov.json,200scanner,200,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,True,agency=FBI&amp;pua=ua-33523145-2,agency=FBI&amp;pua=ua-33523145-2,crime-data-explorer-beta.fr.cloud.gov,crime-data-explorer-beta.fr.cloud.gov,,200
General Services Administration,ag.data.gov,,2020-06-14T14:19:33Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/ag.data.gov.json,200scanner,200,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,True,agency=GSA,agency=GSA,ag.data.gov,ag.data.gov,,200
General Services Administration,agency.ecpic.gov,,2020-06-14T14:19:33Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/agency.ecpic.gov.json,200scanner,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,False,,,agency.ecpic.gov,agency.ecpic.gov,,503
General Services Administration,catalog.data.gov,,2020-06-14T14:19:33Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/catalog.data.gov.json,200scanner,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,False,,,catalog.data.gov,catalog.data.gov,,403
General Services Administration,bsp.cio.gov,,2020-06-14T14:19:33Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/bsp.cio.gov.json,200scanner,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,False,,,bsp.cio.gov,bsp.cio.gov,,200
General Services Administration,cg-c79c82e9-5322-45a5-9100-6cd4b41a6cfd.app.cloud.gov,,2020-06-14T14:19:33Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/cg-c79c82e9-5322-45a5-9100-6cd4b41a6cfd.app.cloud.gov.json,200scanner,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,200,404,True,agency=GSA,agency=GSA,cg-c79c82e9-5322-45a5-9100-6cd4b41a6cfd.app.cloud.gov,cg-c79c82e9-5322-45a5-9100-6cd4b41a6cfd.app.cloud.gov,,200
General Services Administration,cg-f9350b45-637a-46d0-8c53-dd40b1eadaac.app.cloud.gov,,2020-06-14T14:19:33Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/cg-f9350b45-637a-46d0-8c53-dd40b1eadaac.app.cloud.gov.json,200scanner,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,200,404,False,,,cg-f9350b45-637a-46d0-8c53-dd40b1eadaac.app.cloud.gov,cg-f9350b45-637a-46d0-8c53-dd40b1eadaac.app.cloud.gov,,404
General Services Administration,cg-4ade7cd3-a036-4fb7-b1d5-bcef64cb3ddf.app.cloud.gov,,2020-06-14T14:19:33Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/cg-4ade7cd3-a036-4fb7-b1d5-bcef64cb3ddf.app.cloud.gov.json,200scanner,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,200,404,False,,,cg-4ade7cd3-a036-4fb7-b1d5-bcef64cb3ddf.app.cloud.gov,cg-4ade7cd3-a036-4fb7-b1d5-bcef64cb3ddf.app.cloud.gov,,404
General Services Administration,cities.data.gov,,2020-06-14T14:19:33Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/cities.data.gov.json,200scanner,200,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,True,agency=GSA,agency=GSA,cities.data.gov,cities.data.gov,,200
General Services Administration,ciouniversity.cio.gov,,2020-06-14T14:19:33Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/ciouniversity.cio.gov.json,200scanner,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,False,,,ciouniversity.cio.gov,ciouniversity.cio.gov,,200
General Services Administration,cg-ca533af2-85d8-48d5-b022-a488db3d069b.app.cloud.gov,,2020-06-14T14:19:33Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/cg-ca533af2-85d8-48d5-b022-a488db3d069b.app.cloud.gov.json,200scanner,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,200,404,False,,,cg-ca533af2-85d8-48d5-b022-a488db3d069b.app.cloud.gov,cg-ca533af2-85d8-48d5-b022-a488db3d069b.app.cloud.gov,,404
General Services Administration,cg-5ed222e2-1f91-42da-99b0-478c90badbb1.app.cloud.gov,,2020-06-14T14:19:33Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/cg-5ed222e2-1f91-42da-99b0-478c90badbb1.app.cloud.gov.json,200scanner,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,200,404,False,,,cg-5ed222e2-1f91-42da-99b0-478c90badbb1.app.cloud.gov,cg-5ed222e2-1f91-42da-99b0-478c90badbb1.app.cloud.gov,,200
General Services Administration,421-422-423-databasechanges.app.cloud.gov,,2020-06-14T14:19:33Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/421-422-423-databasechanges.app.cloud.gov.json,200scanner,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,False,,,421-422-423-databasechanges.app.cloud.gov,421-422-423-databasechanges.app.cloud.gov,,404
General Services Administration,cofar.cfo.gov,,2020-06-14T14:19:33Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/cofar.cfo.gov.json,200scanner,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,False,,,cofar.cfo.gov,cofar.cfo.gov,,200
General Services Administration,climate.data.gov,,2020-06-14T14:19:33Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/climate.data.gov.json,200scanner,200,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,True,agency=GSA,agency=GSA,climate.data.gov,climate.data.gov,,200
General Services Administration,airnow-green.app.cloud.gov,,2020-06-14T14:19:33Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/airnow-green.app.cloud.gov.json,200scanner,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,False,,,airnow-green.app.cloud.gov,airnow-green.app.cloud.gov,,404
General Services Administration,alpha.data.gov,,2020-06-14T14:19:33Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/alpha.data.gov.json,200scanner,200,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,True,agency=GSA,agency=GSA,alpha.data.gov,alpha.data.gov,,200
General Services Administration,analytics.app.cloud.gov,,2020-06-14T14:19:33Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/analytics.app.cloud.gov.json,200scanner,200,404,404,404,200,404,200,404,404,404,404,404,404,404,404,404,404,404,True,,,analytics.app.cloud.gov,analytics.app.cloud.gov,,200
General Services Administration,dashboard-labs.data.gov,,2020-06-14T14:19:33Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/dashboard-labs.data.gov.json,200scanner,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,False,,,dashboard-labs.data.gov,dashboard-labs.data.gov,,403
General Services Administration,crime-data-explorer-noe.fr.cloud.gov,,2020-06-14T14:19:33Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/crime-data-explorer-noe.fr.cloud.gov.json,200scanner,200,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,True,agency=FBI&amp;pua=ua-33523145-2,agency=FBI&amp;pua=ua-33523145-2,crime-data-explorer-noe.fr.cloud.gov,crime-data-explorer-noe.fr.cloud.gov,,200
General Services Administration,connect.digitalgov.gov,,2020-06-14T14:19:33Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/connect.digitalgov.gov.json,200scanner,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,200,200,False,,,connect.digitalgov.gov,connect.digitalgov.gov,,200
General Services Administration,consumer.data.gov,,2020-06-14T14:19:33Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/consumer.data.gov.json,200scanner,200,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,True,agency=GSA,agency=GSA,consumer.data.gov,consumer.data.gov,,200
General Services Administration,counties.data.gov,,2020-06-14T14:19:33Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/counties.data.gov.json,200scanner,200,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,True,agency=GSA,agency=GSA,counties.data.gov,counties.data.gov,,200
General Services Administration,dap.digitalgov.gov,,2020-06-14T14:19:33Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/dap.digitalgov.gov.json,200scanner,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,False,,,dap.digitalgov.gov,dap.digitalgov.gov,,403
General Services Administration,cloud.cio.gov,,2020-06-14T14:19:33Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/cloud.cio.gov.json,200scanner,200,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,True,agency=EOP&subagency=OMB,agency=EOP&subagency=OMB,cloud.cio.gov,cloud.cio.gov,,200
General Services Administration,atf-eregs-demo.app.cloud.gov,,2020-06-14T14:19:33Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/atf-eregs-demo.app.cloud.gov.json,200scanner,200,500,404,500,500,404,500,500,404,404,404,404,404,500,500,500,404,404,True,agency=DOJ&subagency=ATF,agency=DOJ&subagency=ATF,atf-eregs-demo.app.cloud.gov,atf-eregs-demo.app.cloud.gov,,200
